Human Target,GO Category,Drug(s),M. musculus,Similarity (%),G. gallus,Similarity (%),X. tropicalis,Similarity (%),X. laevis,Similarity (%),G. aculeatus,Similarity (%),D. rerio,Similarity (%),D. melanogaster,Similarity (%),D. pulex,Similarity (%),C. elegans,Similarity (%),A. thaliana,Similarity (%),C. reinhardtii,Similarity (%),D. discoideum,Similarity (%),S. cerevisiae,Similarity (%),T. thermophila,Similarity (%),E. coli,Similarity (%),S. elongatus,Similarity (%)
Q01718|ACTHR_HUMAN Adrenocorticotropic hormone receptor - Homo sapiens,Receptor,"Cosyntropin(DB01284), Corticotropin(DB01285)",ENSMUSP00000058691|Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Melanocortin receptor 2) (MC2-R) (Adrenocorticotropin receptor). [Source:Uniprot/SWISSPROT;Acc:Q64326],88.55,ENSGALP00000022481|melanocortin 2 receptor [Source:RefSeq_peptide;Acc:NP_001026686],67.66,ENSXETP00000057015|Melanocortin receptor 5 (MC5-R) (MC-2). [Source:Uniprot/SWISSPROT;Acc:P33032],47.37,gi|148231129|ref|NP_001086230| 'MGC84229 protein [Xenopus laevis]',25.86,ENSGACP00000004906|Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Melanocortin receptor 2) (MC2-R) (Adrenocorticotropin receptor). [Source:Uniprot/SWISSPROT;Acc:Q01718],51.34,ENSDARP00000027547|melanocortin 4 receptor [Source:RefSeq_peptide;Acc:NP_775385],47.37,"FBpp0099377 type=protein; loc=3R:complement(8338535..8338745,8338865..8338926,8344734..8344794,8344888..8345163,8346178..8346378,8347520..8348031); ID=FBpp0099377; name=Octbeta3R-PD; parent=FBgn0053959,FBtr0099998; dbxref=FlyBase:FBpp0099377,FlyBase_Annotation_IDs:CG33959-PD,GB_protein:ABC66171.1,GB_protein:ABC66171; MD5=7510bdabb27d21bb021235c5caae8c98; length=440; release=r5.6; species=Dmel;",23.75,jgi|Dappu1|42083|e_gw1.4.445.1,16.86,T14E8.3b CE39179 WBGene00020506 locus:dop-3 status:Confirmed SW:Q6RYS9 protein_id:ABA61865.1,10.1,AT5G57250.1 | Symbols:  | similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G62910.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75781.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49923.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABD28636.1); contains InterPro domain Pentatricopeptide repeat (InterPro:IPR002885) | chr5:23212835-23215750 REVERSE,13.39,No Hit,0,DDB0237512 |Protein| gene: geneDDB0237512 on chromosome: 5 position 3471284 to 3477219,13.1,YJR001W|membrane transporter,11.3,115.m00093 TTHERM_00721290 cyclic nucleotide-binding domain containing protein,12.65,b2497 uracil transport (uraA) {Escherichia coli K12-MG1655},9.83,syc1572_d ATP-dependent Clp protease proteolytic subunit (clpP) {Synechococcus elongatus PCC 6301},10.77
Q01959|SC6A3_HUMAN Sodium-dependent dopamine transporter - Homo sapiens,Transporter,"Amphetamine(DB00182), Phentermine(DB00191), Benztropine(DB00245), Methylphenidate(DB00422), Duloxetine(DB00476), Mazindol(DB00579), Procaine(DB00721), Modafinil(DB00745), Phenmetrazine(DB00830), Cocaine(DB00907), Diethylpropion(DB00937), Bupropion(DB01156), Chloroprocaine(DB01161), Fencamfamine(DB01463), Dextroamphetamine(DB01576)",ENSMUSP00000022100|Sodium-dependent dopamine transporter (DA transporter) (DAT). [Source:Uniprot/SWISSPROT;Acc:Q61327],93.55,"ENSGALP00000005627|solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2 [Source:RefSeq_peptide;Acc:NP_990047]",66.35,ENSXETP00000003615|Sodium-dependent dopamine transporter (DA transporter) (DAT). [Source:Uniprot/SWISSPROT;Acc:Q01959],74.07,gi|148228525|ref|NP_001089153| 'GABA neurotransmitter transporter 1 [Xenopus laevis]',41.64,ENSGACP00000008751|Sodium-dependent dopamine transporter (DA transporter) (DAT). [Source:Uniprot/SWISSPROT;Acc:Q01959],76.24,ENSDARP00000008096,64.27,"FBpp0086271 type=protein; loc=2R:complement(12446893..12447522,12447578..12447815,12447879..12448256,12448314..12448486,12448548..12448702,12448767..12448901,12451276..12451462); ID=FBpp0086271; name=DAT-PA; parent=FBgn0034136,FBtr0087125; dbxref=FlyBase:FBpp0086271,FlyBase_Annotation_IDs:CG8380-PA,GB_protein:AAF57986.2,GB_protein:AAF57986; MD5=8af083d63b890751c7a1144363759547; length=631; release=r5.6; species=Dmel;",46.32,jgi|Dappu1|60804|e_gw1.94.29.1,47.09,T23G5.5 CE25124 WBGene00000934 locus:dat-1 sodium:neurotransmitter symporter status:Confirmed SW:Q03614 protein_id:CAA79575.2,42.59,"AT1G79860.1 | Symbols: ATROPGEF12, ROPGEF12, MEE64 | ATROPGEF12/MEE64/ROPGEF12 (MATERNAL EFFECT EMBRYO ARREST 64); Rho guanyl-nucleotide exchange factor/ | chr1:30047065-30048985 REVERSE",11.61,jgi|Chlre3|143495,11.27,DDB0188409 |Protein| gene: BC5V2_0_01087 on chromosome: 5 position 2755696 to 2767924,10.52,YDR033W|similar to Yro2p and Hsp30p,11.45,3730.m00042 TTHERM_00678310 Sodium:neurotransmitter symporter family protein,25.48,"b2257 orf, hypothetical protein {Escherichia coli K12-MG1655}",10.32,syc0190_d unknown protein {Synechococcus elongatus PCC 6301},6.61
"Q02127|PYRD_HUMAN Dihydroorotate dehydrogenase, mitochondrial precursor - Homo sapiens",Enzyme,"Leflunomide(DB01097), Atovaquone(DB01117)","ENSMUSP00000070303|Dihydroorotate dehydrogenase, mitochondrial precursor (EC 1.3.3.1) (Dihydroorotate oxidase) (DHOdehase). [Source:Uniprot/SWISSPROT;Acc:O35435]",87.59,ENSGALP00000001161|dihydroorotate dehydrogenase [Source:RefSeq_peptide;Acc:NP_001006131],71.14,ENSXETP00000050631|MGC107816 protein. [Source:Uniprot/SPTREMBL;Acc:Q5BKN2],67.59,gi|147903199|ref|NP_001085026| 'hypothetical protein LOC432093 [Xenopus laevis]',67.85,"ENSGACP00000020402|Dihydroorotate dehydrogenase, mitochondrial precursor (EC 1.3.3.1) (Dihydroorotate oxidase) (DHOdehase). [Source:Uniprot/SWISSPROT;Acc:Q02127]",70.13,ENSDARP00000068087|hypothetical protein LOC494065 [Source:RefSeq_peptide;Acc:NP_001008608],67.59,"FBpp0081376 type=protein; loc=3R:complement(4477235..4478404,4478459..4478506); ID=FBpp0081376; name=Dhod-PA; parent=FBgn0000447,FBtr0081890; dbxref=FlyBase:FBpp0081376,FlyBase_Annotation_IDs:CG9741-PA,GB_protein:AAF54260.1,GB_protein:AAF54260; MD5=d175881bdd6edf8c80f30b4a1dec351b; length=405; release=r5.6; species=Dmel;",47.36,jgi|Dappu1|106454|fgenesh1_pg.C_scaffold_42000167,44.97,W02D3.2 CE14420 WBGene00020932 dihydroorotate dehydrogenase status:Confirmed TR:O01815 protein_id:AAK21481.1,49.5,AT5G23300.1 | Symbols: PYRD | PYRD (PYRIMIDINE D); dihydroorotate dehydrogenase | chr5:7847795-7850246 REVERSE,48.43,jgi|Chlre3|152239,46.62,No Hit,0,YKL216W|dihydroorotate dehydrogenase,15.87,3818.m00638 TTHERM_00695570 hypothetical protein,19.85,b0945 dihydro-orotate dehydrogenase (pyrD) [1.3.3.1] {Escherichia coli K12-MG1655},32.59,syc1222_c dihydroorotate dehydrogenase (pyrD) {Synechococcus elongatus PCC 6301},35.89
"Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000003461|2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q60597]",95.89,"ENSGALP00000003546|2-oxoglutarate dehydrogenase E1 component-like, mitochondrial precursor (EC 1.2.4.-) (Alpha-ketoglutarate dehydrogenase-like). [Source:Uniprot/SWISSPROT;Acc:Q9ULD0]",76.54,"ENSXETP00000041195|2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q02218]",90.62,gi|148231573|ref|NP_001083614| 'hypothetical protein LOC399021 [Xenopus laevis]',90.22,"ENSGACP00000001427|2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q02218]",84.38,ENSDARP00000009474|Ogdh protein. [Source:Uniprot/SPTREMBL;Acc:Q6PBQ6],86.52,"FBpp0075026 type=protein; loc=3L:join(16952221..16952316,16952385..16952522,16952805..16952984,16954600..16954702,16955435..16955513,16955576..16955987,16956043..16956911,16956970..16957864,16957924..16958078,16960482..16960581); ID=FBpp0075026; name=Nc73EF-PA; parent=FBgn0010352,FBtr0075266; dbxref=FlyBase:FBpp0075026,FlyBase_Annotation_IDs:CG11661-PA,GB_protein:AAF49388.2,GB_protein:AAF49388; MD5=4bde15876502788875d1a29947f46d13; length=1008; release=r5.6; species=Dmel;",59.71,jgi|Dappu1|197428|estExt_Genewise1Plus.C_290219,61.89,T22B11.5 CE28486 WBGene00020679 2-oxoglutarate dehydrogenase status:Confirmed SW:O61199 protein_id:AAB94185.2,54.98,"AT3G55410.1 | Symbols:  | 2-oxoglutarate dehydrogenase E1 component, putative / oxoglutarate decarboxylase, putative / alpha-ketoglutaric dehydrogenase, putative | chr3:20552874-20556705 FORWARD",45.85,jgi|Chlre3|79471,45.74,DDB0234117 |Protein| gene: ogdh on chromosome: 5 position 1102242 to 1105954,43.81,YIL125W|alpha-ketoglutarate dehydrogenase,42.69,"3690.m00087 TTHERM_00268070 2-oxoglutarate dehydrogenase, E1 component family protein",37.41,b0726 2-oxoglutarate dehydrogenase (decarboxylase component) (sucA) [1.2.4.2] {Escherichia coli K12-MG1655},35.71,syc2192_d hypothetical protein {Synechococcus elongatus PCC 6301},7.72
"Q02252|MMSA_HUMAN Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial precursor - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000082288|aldehyde dehydrogenase family 6, subfamily A1 [Source:RefSeq_peptide;Acc:NP_598803]",93.46,"ENSGALP00000016585|Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial precursor (EC 1.2.1.27) (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18). [Source:Uniprot/SWISSPROT;Acc:Q02252]",83.55,"ENSXETP00000029150|Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial precursor (EC 1.2.1.27) (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18). [Source:Uniprot/SWISSPROT;Acc:Q02252]",74.21,gi|148224889|ref|NP_001089889| 'hypothetical protein LOC734956 [Xenopus laevis]',79.07,"ENSGACP00000016669|Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial precursor (EC 1.2.1.27) (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18). [Source:Uniprot/SWISSPROT;Acc:Q02252]",78.32,ENSDARP00000070002|hypothetical protein LOC436647 [Source:RefSeq_peptide;Acc:NP_001002374],74.39,"FBpp0070088 type=protein; loc=X:complement(385129..386661,386776..386778); ID=FBpp0070088; name=CG17896-PA; parent=FBgn0023537,FBtr0070093; dbxref=FlyBase:FBpp0070088,FlyBase_Annotation_IDs:CG17896-PA,GB_protein:AAF45511.1,GB_protein:AAF45511; MD5=ebfbc902871c1ec085e5e15465c2b246; length=511; release=r5.6; species=Dmel;",64.11,jgi|Dappu1|303718|PASA_GEN_2300078,67.29,F13D12.4a CE02183 WBGene00000114 locus:alh-8 methylmalonate-semialdehyde dehydrogenase status:Confirmed SW:P52713 protein_id:CAA88946.1,63.74,AT2G14170.1 | Symbols: ALDH6B2 | ALDH6B2 (Aldehyde dehydrogenase 6B2); 3-chloroallyl aldehyde dehydrogenase | chr2:5984809-5988981 REVERSE,55.14,jgi|Chlre3|130434,52.43,DDB0231483 |Protein| gene: mmsdh on chromosome: 5 position 2337171 to 2339014,57.91,YOR374W|mitochondrial aldehyde dehydrogenase,26.35,3691.m00056 TTHERM_00299840 methylmalonate-semialdehyde dehydrogenase family protein,51.03,b0312 NAD+-dependent betaine aldehyde dehydrogenase (betB) [1.2.1.8] {Escherichia coli K12-MG1655},25.6,syc1030_d aldehyde dehydrogenase {Synechococcus elongatus PCC 6301},17.91
"Q02318|CP27A_HUMAN Cytochrome P450 27, mitochondrial precursor - Homo sapiens",Enzyme,Cholecalciferol(DB00169),"ENSMUSP00000027356|Cytochrome P450 27, mitochondrial precursor (EC 1.14.13.15) (Cytochrome P-450C27/25) (Sterol 26-hydroxylase) (Sterol 27- hydroxylase) (Vitamin D(3) 25-hydroxylase) (5-beta-cholestane-3- alpha,7-alpha,12-alpha-triol 27-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:Q9DBG1]",71.21,"ENSGALP00000003890|Cytochrome P450 27, mitochondrial precursor (EC 1.14.13.15) (Cytochrome P-450C27/25) (Sterol 26-hydroxylase) (Sterol 27- hydroxylase) (Vitamin D(3) 25-hydroxylase) (5-beta-cholestane-3- alpha,7-alpha,12-alpha-triol 27-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:Q02318]",47.56,"ENSXETP00000030301|Cytochrome P450 27, mitochondrial precursor (EC 1.14.-.-) (Cytochrome P-450C27/25) (Sterol 26-hydroxylase) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:Q02318] [from human gene ENSG00000135929]",47.67,gi|50416413|gb|AAH77308| 'Cyp27a1-prov protein [Xenopus laevis]',45.79,"ENSGACP00000003298|Cytochrome P450 27, mitochondrial precursor (EC 1.14.13.15) (Cytochrome P-450C27/25) (Sterol 26-hydroxylase) (Sterol 27- hydroxylase) (Vitamin D(3) 25-hydroxylase) (5-beta-cholestane-3- alpha,7-alpha,12-alpha-triol 27-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:Q02318]",42.67,ENSDARP00000091261,43.98,"FBpp0089308 type=protein; loc=2R:complement(6337192..6337305,6337385..6337506,6337926..6338031,6338097..6338175,6338250..6338419,6338484..6338658,6338728..6338923,6339428..6339504,6339593..6339709,6339803..6339883,6342789..6342954,6343028..6343191,6343430..6343632); ID=FBpp0089308; name=Cyp49a1-PD; parent=FBgn0033524,FBtr0088313; dbxref=FlyBase:FBpp0089308,FlyBase_Annotation_IDs:CG18377-PD,GB_protein:AAM68760.2,GB_protein:AAM68760; MD5=2cf0a1c7bf02d9611872284f2939988c; length=589; release=r5.6; species=Dmel;",24.82,jgi|Dappu1|319971|NCBI_GNO_3200111,24.07,ZK177.5 CE25682 WBGene00000375 locus:cyp-44A1 cytochrome p450 status:Confirmed SW:Q09660 protein_id:AAG00050.1,20.41,"AT2G26170.2 | Symbols: MAX1, CYP711A1 | CYP711A1 (MORE AXILLARY BRANCHES 1); oxygen binding | chr2:11148781-11150348 FORWARD",20.22,jgi|Chlre3|196711,19.8,DDB0232343 |Protein| gene: CYP513F1 on chromosome: 3 position 805261 to 806859,18.54,YHR007C|cytochrome P450 lanosterol 14a-demethylase,17.15,19.m00305 TTHERM_00227020 Cytochrome P450 family protein,17.09,b2788 putative glucarate dehydratase (ygcY) {Escherichia coli K12-MG1655},10.92,syc0188_c cytochrome P450 {Synechococcus elongatus PCC 6301},18.23
"Q02338|BDH_HUMAN D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000110882|D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor (EC 1.1.1.30) (BDH) (3-hydroxybutyrate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q80XN0]",85.71,"ENSGALP00000011241|D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor (EC 1.1.1.30) (BDH) (3-hydroxybutyrate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q5ZJZ5]",69.39,"ENSXETP00000007492|D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor (EC 1.1.1.30) (BDH) (3-hydroxybutyrate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q02338]",61.52,gi|161611758|gb|AAI55944| 'Unknown (protein for IMAGE:7205052) [Xenopus laevis]',49.27,"ENSGACP00000004733|D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor (EC 1.1.1.30) (BDH) (3-hydroxybutyrate dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:Q02338]",51.31,ENSDARP00000076934|hypothetical protein LOC100037356 [Source:RefSeq_peptide;Acc:NP_001082978],53.01,"FBpp0087129 type=protein; loc=2R:complement(7952386..7952562,7952634..7952735,7953195..7953451,7953513..7953666,7953999..7954205,7964558..7964803,7966800..7966823); ID=FBpp0087129; name=CG8888-PA; parent=FBgn0033679,FBtr0088022; dbxref=FlyBase:FBpp0087129,FlyBase_Annotation_IDs:CG8888-PA,GB_protein:AAF58586.1,GB_protein:AAF58586; MD5=7ed42006c55b2f09d0b6778dfbcf8574; length=388; release=r5.6; species=Dmel;",28.57,jgi|Dappu1|207455|estExt_Genewise1.C_50407,47.25,F35B12.2 CE39496 WBGene00000983 locus:dhs-20 retinol dehydrogenase like status:Confirmed TR:Q20012 protein_id:CAA98465.3,32.97,AT5G10050.1 | Symbols:  | short-chain dehydrogenase/reductase (SDR) family protein | chr5:3144255-3145644 FORWARD,19.13,jgi|Chlre3|116006,22.67,DDB0219676 |Protein| gene: BEC6V2_0_00169 on chromosome: 6 position 432569 to 433581,17.29,YIL124W|1-Acyl dihydroxyacetone phosphate reductase,16.62,"3737.m00014 TTHERM_00688390 oxidoreductase, short chain dehydrogenase/reductase family protein",19.19,b0493 putative oxidoreductase (ybbO) {Escherichia coli K12-MG1655},24.42,syc0845_c 3-oxoacyl-[acyl-carrier protein] reductase (fabG) {Synechococcus elongatus PCC 6301},17.15
Q02641|CACB1_HUMAN Voltage-dependent L-type calcium channel subunit beta-1 - Homo sapiens,Ion Channel,"Ibutilide(DB00308), Magnesium Sulfate(DB00653), Verapamil(DB00661)",ENSMUSP00000017552|Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1). [Source:Uniprot/SWISSPROT;Acc:Q8R3Z5],97.99,ENSGALP00000037541|Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2) (Lambert-Eaton myasthenic syndrome antigen B) (MYSB). [Source:Uniprot/SWISSPROT;Acc:Q08289],57.53,ENSXETP00000049240|Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2) (Lambert-Eaton myasthenic syndrome antigen B) (MYSB). [Source:Uniprot/SWISSPROT;Acc:Q08289],53.07,gi|159155469|gb|AAI54973| 'Unknown (protein for IMAGE:8532682) [Xenopus laevis]',55.26,ENSGACP00000012280|Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1). [Source:Uniprot/SWISSPROT;Acc:Q02641],71.94,"ENSDARP00000057158|calcium channel, voltage-dependent, beta 1 subunit [Source:RefSeq_peptide;Acc:NP_001002652]",70.07,"FBpp0079806 type=protein; loc=2L:complement(11161265..11161290,11162984..11163098,11163222..11163389,11163453..11163937,11165585..11165678,11165745..11165966,11166027..11166143,11170368..11170439); ID=FBpp0079806; name=Ca-beta-PA; parent=FBgn0015608,FBtr0080217; dbxref=GB_protein:AAF53083.2,FlyBase:FBpp0079806,FlyBase_Annotation_IDs:CG6320-PA,GB_protein:AAF53083; MD5=c4aa1ce52ca3e6d6c213d11d913ceb2f; length=432; release=r5.6; species=Dmel;",41.99,jgi|Dappu1|52801|e_gw1.32.108.1,43.15,T28F2.5 CE39788 WBGene00000368 locus:ccb-1 calcium channel subunit status:Partially_confirmed TR:O01661 protein_id:AAB53056.2,41.32,No Hit,0,No Hit,0,DDB0215355 |Protein| gene: myoC on chromosome: 2 position 7033317 to 7036976,10.86,YPL095C|alcohol acyl transferase,10.96,3716.m00053 TTHERM_00500780 Protein phosphatase 2C containing protein,7.86,b2554 putative 2-component transcriptional regulator (yfhA) {Escherichia coli K12-MG1655},10.7,syc0655_d elongation factor EF-G (fus) {Synechococcus elongatus PCC 6301},11.41
Q02643|GHRHR_HUMAN Growth hormone-releasing hormone receptor precursor - Homo sapiens,Receptor,Sermorelin(DB00010),ENSMUSP00000068120|Growth hormone-releasing hormone receptor precursor (GHRH receptor) (GRF receptor) (GRFR). [Source:Uniprot/SWISSPROT;Acc:P32082],81.56,ENSGALP00000008360|growth hormone releasing hormone receptor [Source:RefSeq_peptide;Acc:NP_001032923],60.14,ENSXETP00000023406|Pituitary adenylate cyclase-activating polypeptide type I receptor precursor (PACAP type I receptor) (PACAP-R-1). [Source:Uniprot/SWISSPROT;Acc:P41586],39.37,gi|6561485|gb|AAF16939| 'pituitary adenylate cyclase-activating polypeptide type I receptor [Xenopus laevis]',39.37,ENSGACP00000015577,49.06,ENSDARP00000071662|growth hormone-releasing hormone receptor [Source:RefSeq_peptide;Acc:NP_001075951],50.94,"FBpp0099841 type=protein; loc=X:join(2467034..2467463,2467533..2467643,2468505..2468656,2468896..2469153,2469225..2469521,2469588..2469851,2469927..2470087,2470150..2470486); ID=FBpp0099841; name=CG13758-PA; parent=FBgn0040378,FBtr0070436; dbxref=GB_protein:AAF45788.1,FlyBase_Annotation_IDs:CG13758-PA,FlyBase:FBpp0099841,GB_protein:AAF45788.2,GB_protein:AAF45788; MD5=a565faec41a79f5e570e37a53e2e2a50; length=669; release=r5.6; species=Dmel;",23,jgi|Dappu1|299719|MRW_e_gw1.3.534.1,25.52,C13B9.4c CE37088 WBGene00015735 status:Partially_confirmed TR:Q6W3C2 protein_id:AAT92086.1,20.39,AT3G26600.1 | Symbols:  | armadillo/beta-catenin repeat family protein | chr3:9771126-9772973 FORWARD,10.97,jgi|Chlre3|205506,7.33,DDB0231831 |Protein| gene: lrlA on chromosome: 4 position 3985122 to 3986208,12.26,YGL160W|ferric reductase component (predicted),12.33,47.m00216 TTHERM_00425860 major facilitator superfamily protein,11.4,b3679 putative cotransporter (yidK) {Escherichia coli K12-MG1655},10.96,syc1160_c sodium-dependent transporter {Synechococcus elongatus PCC 6301},12.06
Q02790|FKBP4_HUMAN FK506-binding protein 4 - Homo sapiens,Enzyme,Dimethyl sulfoxide(DB01093),ENSMUSP00000032508|FK506-binding protein 4 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (p59 protein) (HSP-binding immunophilin) (HBI) (FKBP52 protein) (52 kDa FK506-binding protein) (FKBP59). [Source:Uniprot/SWISSPROT;Acc:P30416],89.76,"ENSGALP00000029868|FK506 binding protein 4, 59kDa [Source:RefSeq_peptide;Acc:NP_001006250]",73.86,ENSXETP00000003463|FK506-binding protein 4 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (p59 protein) (HSP-binding immunophilin) (HBI) (FKBP52 protein) (52 kDa FK506-binding protein) (FKBP59). [Source:Uniprot/SWISSPROT;Acc:Q02790],65.8,gi|148224718|ref|NP_001084916| 'hypothetical protein LOC431968 [Xenopus laevis]',63.4,ENSGACP00000017216|FK506-binding protein 4 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (p59 protein) (HSP-binding immunophilin) (HBI) (FKBP52 protein) (52 kDa FK506-binding protein) (FKBP59). [Source:Uniprot/SWISSPROT;Acc:Q02790],57.3,ENSDARP00000013076|FK506 binding protein 4 [Source:RefSeq_peptide;Acc:NP_958877],60.35,"FBpp0079468 type=protein; loc=2L:join(9888143..9888338,9888404..9888546,9888667..9888787,9888847..9888985,9889048..9889405,9889460..9889570,9889632..9889769,9889877..9889990); ID=FBpp0079468; name=FKBP59-PA; parent=FBgn0029174,FBtr0079872; dbxref=GB_protein:AAF52818.1,FlyBase:FBpp0079468,FlyBase_Annotation_IDs:CG4535-PA,GB_protein:AAF52818; MD5=0cba52e8ed40bf222c6e1861d81c13b2; length=439; release=r5.6; species=Dmel;",40.09,jgi|Dappu1|204206|estExt_Genewise1Plus.C_1990002,48.48,F31D4.3 CE15929 WBGene00001431 locus:fkb-6 FKBP-type peptidyl-prolyl cis-trans isomerases status:Confirmed TR:O45418 protein_id:CAB07371.1,39.35,AT3G25230.2 | Symbols: ROF1 | ROF1 (ROTAMASE FKBP 1) | chr3:9189494-9192412 FORWARD,30.41,jgi|Chlre3|34008,28.54,DDB0185700 |Protein| gene: BC4V2_0_00459 on chromosome: 4 position 1148242 to 1149573,22.04,YNL135C|peptidyl-prolyl cis-trans isomerase,11.11,"3729.m00066 TTHERM_00548130 peptidyl-prolyl cis-trans isomerase, cyclophilin-type family protein",21.41,b4207 FKBP-type 22KD peptidyl-prolyl cis-trans isomerase (rotamase) (fklB) {Escherichia coli K12-MG1655},7.63,syc1749_d FKBP-type peptidyl-prolyl cis-trans isomerase {Synechococcus elongatus PCC 6301},13.24
